task_index	case_id
1	student_t_k1_n50_gibbs_geometry_seed0_init_central
2	student_t_k1_n50_gibbs_geometry_seed0_init_tail_heavy
3	student_t_k1_n50_gibbs_geometry_seed0_init_random
4	student_t_k1_n50_gibbs_geometry_seed1_init_central
5	student_t_k1_n50_gibbs_geometry_seed1_init_tail_heavy
6	student_t_k1_n50_gibbs_geometry_seed1_init_random
7	student_t_k1_n50_gibbs_geometry_seed2_init_central
8	student_t_k1_n50_gibbs_geometry_seed2_init_tail_heavy
9	student_t_k1_n50_gibbs_geometry_seed2_init_random
10	student_t_k1_n50_gibbs_geometry_seed3_init_central
11	student_t_k1_n50_gibbs_geometry_seed3_init_tail_heavy
12	student_t_k1_n50_gibbs_geometry_seed3_init_random
13	student_t_k1_n50_gibbs_geometry_seed4_init_central
14	student_t_k1_n50_gibbs_geometry_seed4_init_tail_heavy
15	student_t_k1_n50_gibbs_geometry_seed4_init_random
